Tweets,len,ID,Date,Source,Likes,RTs
I always enjoy being with our farmers. It is due to their hardwork that India has achieved so much. Going to Shahja… https://t.co/8NJOPeA4dS,140,1020532540736712704,2018-07-21 04:54:52,Twitter for Android,13224,2819
"The fight against corruption and black money will continue. Due to this, I know that many vested interests, who hav… https://t.co/3HgFWxCmt3",140,1020520047318568961,2018-07-21 04:05:14,Media Studio,9995,3117
"Congress leaders feel I cant see them in the eye. They are correct. I am too small compared to them. 
How did 1 fam… https://t.co/puG3iJasPG",140,1020519904376770560,2018-07-21 04:04:40,Media Studio,25055,7733
"Before net banking was popular, there was 'phone banking' invented by the Congress.

One phone call and those favou… https://t.co/D0ikpk7khp",140,1020519492844228608,2018-07-21 04:03:02,Media Studio,7388,2573
"I appeal to the Congress to stop calling the Surgical Strikes as ‘Jumla Strikes.’ 

They can continue abusing me, m… https://t.co/ZM9cwSyKa2",140,1020519245451587585,2018-07-21 04:02:03,Media Studio,14240,4509
I assure my sisters and brothers of Andhra Pradesh that the NDA Government will always work for their welfare and t… https://t.co/kYhmz1tvjZ,140,1020519044649226240,2018-07-21 04:01:15,Media Studio,7526,2271
"The NDA has the support of more than 2/3rd members of the Lok Sabha. 

Yesterday the nation saw yet again how the C… https://t.co/uPV3qBmG7M",140,1020518936625008640,2018-07-21 04:00:49,Media Studio,8022,2702
"NDA has the confidence of the Lok Sabha and the 125 crore people of India. 

I thank all the parties that have supp… https://t.co/LClVLVpDrC",140,1020368441059041280,2018-07-20 18:02:48,Twitter for iPhone,48085,14107
Speaking in the Lok Sabha. Watch. https://t.co/KejEdESqGx,57,1020334526134870016,2018-07-20 15:48:02,Periscope,19982,6886
Today is an important day in our Parliamentary democracy. I am sure my fellow MP colleagues will rise to the occasi… https://t.co/arei2Ys5S4,140,1020127891986661376,2018-07-20 02:06:57,Twitter for iPhone,54807,13048
"For people in Jharkhand, with Urja Shakti came Jal Shakti. 

Citizens in Odisha narrated how electrified villages m… https://t.co/LzXvaddxMk",140,1019968691524419585,2018-07-19 15:34:20,Media Studio,7651,1900
"For Indira Basumatary Ji from Assam, village electrification meant travelling long distances for small errands is h… https://t.co/LcbLWJ5iTa",140,1019968447462092801,2018-07-19 15:33:22,Media Studio,7222,1772
"Substantial number of villages without electricity were in the Northeast. This changed in the last four years. 

Pe… https://t.co/n77cznvFmm",140,1019968229073010689,2018-07-19 15:32:30,Media Studio,7848,1916
No more walking long distances to get kerosene and more hours to study…here is how life changed for young Aarti Sha… https://t.co/vB3Jt3PHIp,140,1019967985430040576,2018-07-19 15:31:32,Media Studio,8517,2035
"For people living in a village near Jaisalmer, the arrival of electricity brought with it many positives, one of th… https://t.co/qHLWp8wLzI",140,1019967443500855296,2018-07-19 15:29:23,Media Studio,7674,1889
A village in Tehri Garhwal was electrified around Diwali. The coming of electricity created numerous opportunities… https://t.co/HiTIDvPfVe,139,1019967148083433472,2018-07-19 15:28:12,Media Studio,5958,1573
Here is the video of this morning's interaction with people who belong to villages that have been electrified in th… https://t.co/43jevZWeOa,140,1019966774152851456,2018-07-19 15:26:43,Twitter Web Client,7501,2047
"Saddened by the demise of noted poet and lyricist Shri Gopaldas ‘Neeraj.’ 

Shri Neeraj's unique style connected hi… https://t.co/lWdBvk48Ek",140,1019965885400768512,2018-07-19 15:23:11,Twitter Web Client,14152,2995
The interaction with people from villages across India that have been electrified in the last four years begins in… https://t.co/SXR5rFPEms,139,1019786366236884994,2018-07-19 03:29:51,Twitter for iPhone,18285,3613
Thank you Sakshi for this wonderful letter. I am glad that #ExamWarriors helped you during your exam preparations.… https://t.co/6w3Ho275RE,139,1019409747840307210,2018-07-18 02:33:18,Twitter for iPhone,23317,4683
"Wonderful interaction with our valued NDA allies. 

The NDA family in united in our pursuit of development and good… https://t.co/phMSYRqOXX",140,1019235187090059266,2018-07-17 14:59:39,Twitter Web Client,11358,2561
Met BJP leaders in Parliament. https://t.co/54c85liwcz,54,1019234838476251137,2018-07-17 14:58:16,Twitter Web Client,12057,2291
Some pictures from the all-party meeting held in Parliament earlier today. https://t.co/dZI2SJRzsX,98,1019234411403829249,2018-07-17 14:56:34,Twitter Web Client,11062,2260
This interaction will take place on Thursday 19th July 2018. Join this programme via the ‘Narendra Modi Mobile App.… https://t.co/n9FI5jNctC,140,1019234346731892736,2018-07-17 14:56:19,Twitter Web Client,8152,1782
Looking forward to interacting with citizens from villages that have been electrified in the last 4 years. Even aft… https://t.co/U6jjJLMLvJ,140,1019234344693428225,2018-07-17 14:56:18,Twitter Web Client,15887,3452
